POS Txn,item
16120100160023000000,PET SUPPLIES
16120100160023000000,SPIRITS
16120100160023000000,SOUVENIR
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,BEAUTY CARE
16120100160023000000,SEASONAL
16120100160023000000,GENERAL HARDWARE
16120100160023000000,CANDY
16120100160023000000,SPIRITS
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,MENS ACTIVEWEAR
16120100160023000000,SPIRITS
16120100160023000000,SPIRITS
16120100160023000000,TOBACCO
16120100160023000000,WINE
16120100160023000000,MENS OUTDOOR
16120100160023000000,HEALTH AIDS
16120100160023000000,PERSONAL CARE
16120100160023000000,SPIRITS
16120100160023000000,GENERAL HARDWARE
16120100160023000000,GENERAL GROCERIES
16120100160023000000,HEALTH AIDS
16120100160023000000,SPIRITS
16120100160023000000,HOUSEHOLD CLEANING
16120100160023000000,GENERAL HARDWARE
16120100160023000000,CANDY
16120100160023000000,SPIRITS
16120100160023000000,PERSONAL CARE
16120100160023000000,BEVERAGES
16120100160023000000,PET SUPPLIES
16120100160023000000,SPIRITS
16120100160023000000,BEER
16120100160023000000,TOYS
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,PERSONAL CARE
16120100160023000000,TEAM SPORTING GOODS
16120100160023000000,GENERAL GROCERIES
16120100160023000000,SPIRITS
16120100160023000000,MENS OUTDOOR
16120100160023000000,SPORTS NUTRITION
16120100160023000000,SEASONAL
16120100160023000000,TOBACCO
16120100160023000000,BEVERAGES
16120100160023000000,SPIRITS
16120100160023000000,GIRLS ACCESSORIES
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,HEALTH AIDS
16120100160023000000,FLOOR CARE
16120100160023000000,CANDY
16120100160023000000,WINE
16120100160023000000,SPIRITS
16120100160023000000,BEER
16120100160023000000,PERSONAL CARE
16120100160023000000,SEASONAL
16120100160023000000,CANDY
16120100160023000000,TOYS
16120100160023000000,WINE
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,BEER
16120100160023000000,GENERAL GROCERIES
16120100160023000000,CANDY
16120100160023000000,PERSONAL CARE
16120100160023000000,TOBACCO
16120100160023000000,WINE
16120100160023000000,STATIONERY SUNDRIES
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,WINE
16120100160023000000,BEER
16120100160023000000,WINE
16120100160023000000,HOUSEHOLD CLEANING
16120100160023000000,SPIRITS
16120100160023000000,HEALTH AIDS
16120100160023000000,TOBACCO
16120100160023000000,PET SUPPLIES
16120100160023000000,LAWN & GARDEN
16120100160023000000,SPIRITS
16120100160023000000,BEER
16120100160023000000,SPIRITS
16120100160023000000,TOBACCO
16120100160023000000,BEER
16120100160023000000,TOBACCO
16120100160023000000,MENS OUTDOOR
16120100160023000000,MENS ACTIVEWEAR
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,HEALTH AIDS
16120100160023000000,GENERAL GROCERIES
16120100160023000000,BEVERAGES
16120100160023000000,WINE
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,MENS ACTIVEWEAR
16120100160023000000,MASS COSMETICS
16120100160023000000,HEALTH AIDS
16120100160023000000,MENS DENIM JEANS
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,OUTDOOR LIVING
16120100160023000000,CANDY
16120100160023000000,BEVERAGES
16120100160023000000,DIGITAL FITNESS
16120100160023000000,BEVERAGES
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,BEVERAGES
16120100160023000000,TOBACCO
16120100160023000000,TEAM SPORTING GOODS
16120100160023000000,TOBACCO
16120100160023000000,HEALTH AIDS
16120100160023000000,SUNGLASSES
16120100160023000000,HEALTH AIDS
16120100160023000000,GEN SPORTING GOODS
16120100160023000000,HOUSEHOLD CLEANING
16120100160023000000,GENERAL GROCERIES
16120100160023000000,BEER
16120100160023000000,TOBACCO
16120100160023000000,STATIONERY SUNDRIES
16120100160023000000,SPIRITS
16120100160023000000,SPORTS NUTRITION
16120100160023000000,SEASONAL
16120100160023000000,VIDEO GAMES
16120100160023000000,SPIRITS
16120100160023000000,SPIRITS
16120100160023000000,HEALTH AIDS
16120100160023000000,SMALL ELECTRICS
16120100160023000000,HOUSEHOLD CLEANING
16120100160023000000,AS SEEN ON TV
16120100160023000000,GENERAL HARDWARE
16120100160023000000,TOBACCO
16120100160023000000,TOYS
16120100160023000000,SPIRITS
16120100160023000000,BEER
16120100160023000000,LAWN & GARDEN
16120100160023000000,TOBACCO
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,MISSY KAREN SCOTT
16120100160023000000,MISSY TOPS
16120100160023000000,HOSIERY
16120100160023000000,WINE
16120100160023000000,BEER
16120100160023000000,NAVY PRIDE SOFTLINES
16120100160023000000,BEAUTY CARE
16120100160023000000,HOUSEHOLD CLEANING
16120100160023000000,PET SUPPLIES
16120100160023000000,WMNS PRESTIGE FRAG
16120100160023000000,CANDY
16120100160023000000,PET SUPPLIES
16120100160023000000,HOUSEHOLD CLEANING
16120100160023000000,CANDY
16120100160023000000,SPIRITS
16120100160023000000,PERSONAL CARE
16120100160023000000,FITNESS/EXERCISE
16120100160023000000,PET SUPPLIES
16120100160023000000,HEALTH AIDS
16120100160023000000,BEVERAGES
16120100160023000000,VALUE ZONE
16120100160023000000,WINE
16120100160023000000,FISHING
16120100160023000000,TOYS
16120100160023000000,BEVERAGES
16120100160023000000,HEALTH AIDS
16120100160023000000,VITAMINS & HLTH AIDS
16120100160023000000,AUDIO ELECTRONICS
16120100160023000000,GENERAL GROCERIES
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,TEAM SPORTING GOODS
16120100160023000000,TOBACCO
16120100160023000000,JUNIOR DRESSES
16120100160023000000,DAYWEAR
16120100160023000000,MENS SPORT SHIRTS
16120100160023000000,INFANT APPAREL
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,GENERAL HOUSEWARES
16120100160023000000,BATTERIES
16120100160023000000,PET SUPPLIES
16120100160023000000,SPIRITS
16120100160023000000,BEER
16120100160023000000,SPIRITS
16120100160023000000,TOYS
16120100160023000000,BIKES
16120100160023000000,SEASONAL
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,LDS OUTERWEAR/OUTDR
16120100160023000000,BEAUTY CARE
16120100160023000000,PERSONAL CARE
16120100160023000000,SPIRITS
16120100160023000000,VITAMINS & HLTH AIDS
16120100160023000000,SPIRITS
16120100160023000000,BEER
16120100160023000000,BEER
16120100160023000000,HEALTH AIDS
16120100160023000000,SOUVENIR
16120100160023000000,BOYS 8-20 CLOTHING
16120100160023000000,GENERAL HOUSEWARES
16120100160023000000,SPIRITS
16120100160023000000,AUDIO ELECTRONICS
